,mut_rate,cross_rate,elite_size,tournament_size,num_of_iterations,pop_size,modularity,dissagregation,systems_used
0,0.001,0.5,10,10,100,150,5,False,1243
1,0.001,0.5,10,10,100,250,5,False,1016
2,0.001,0.5,10,10,800,150,5,False,1188
3,0.001,0.5,10,10,800,250,5,False,1048
4,0.001,0.75,10,10,100,150,5,False,1319
5,0.001,0.75,10,10,100,250,5,False,1112
6,0.001,0.75,10,10,800,150,5,False,1195
7,0.001,0.75,10,10,800,250,5,False,1140
8,0.5,0.5,10,10,100,150,5,False,1228
9,0.5,0.5,10,10,100,250,5,False,1137
10,0.5,0.5,10,10,800,150,5,False,1164
11,0.5,0.5,10,10,800,250,5,False,1040
12,0.5,0.75,10,10,100,150,5,False,1214
13,0.5,0.75,10,10,100,250,5,False,1203
14,0.5,0.75,10,10,800,150,5,False,1293
15,0.5,0.75,10,10,800,250,5,False,1272
16,0.001,0.5,10,10,100,150,5,False,1054
17,0.001,0.5,10,10,100,250,5,False,980
18,0.001,0.5,10,10,800,150,5,False,1027
19,0.001,0.5,10,10,800,250,5,False,946
20,0.001,0.75,10,10,100,150,5,False,1105
21,0.001,0.75,10,10,100,250,5,False,949
22,0.001,0.75,10,10,800,150,5,False,1076
23,0.001,0.75,10,10,800,250,5,False,973
24,0.5,0.5,10,10,100,150,5,False,1090
25,0.5,0.5,10,10,100,250,5,False,1078
26,0.5,0.5,10,10,800,150,5,False,1050
27,0.5,0.5,10,10,800,250,5,False,1031
28,0.5,0.75,10,10,100,150,5,False,1204
29,0.5,0.75,10,10,100,250,5,False,1018
30,0.5,0.75,10,10,800,150,5,False,1157
31,0.5,0.75,10,10,800,250,5,False,1128
